,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
501,C.R.C. NO. 13,24091501380,SRI SRI ACADEMY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,15,20,5,17,9,6,10,5,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,23,24,12,12,0,24,0,,,,,,,
502,C.R.C. NO. 13,24091501381,NACHIKETA SCHOOLING SYSTEM,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,15,21,13,21,11,28,14,19,13,19,6,18,8,11,6,0,0,0,0,0,0,0,0,1,9,10,6,4,0,10,0,,,,,,,
503,C.R.C. NO. 2,24091501401,SCHOOL NO.60,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,54,49,66,63,61,48,55,79,51,46,53,54,64,53,42,31,0,0,0,0,0,0,0,0,3,21,24,17,7,24,0,0,,,,,,,
504,C.R.C. NO. 2,24091501402,SCHOOL NO.56,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,18,20,11,16,13,14,18,10,11,16,22,8,12,18,19,7,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,,,,,
505,C.R.C. NO. 2,24091501403,SCHOOL NO.59,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,26,30,14,32,28,21,21,35,40,42,33,43,50,60,50,46,0,0,0,0,0,0,0,0,4,13,17,8,9,17,0,0,,,,,,,
506,C.R.C. NO. 14,24091501405,SARITA PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,3,0,5,2,16,5,0,0,0,0,0,0,0,0,4,1,5,0,5,5,0,0,,,,,,,
507,C.R.C. NO. 14,24091501407,NOBLE VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,35,37,24,15,21,28,30,10,15,21,21,18,20,10,24,14,0,0,0,0,0,0,0,0,2,7,9,6,3,9,0,0,,,,,,,
508,C.R.C. NO. 14,24091501408,SHREE TAGOR VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,16,15,4,15,10,23,16,14,15,34,15,22,11,24,16,0,0,0,0,0,0,0,0,3,5,8,6,2,8,0,0,,,,,,,
509,C.R.C. NO. 14,24091501409,UNIVERSAL PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,51,29,39,35,41,40,43,34,34,40,45,34,38,41,39,39,0,0,0,0,0,0,0,0,7,9,16,8,8,0,16,0,,,,,,,
510,C.R.C. NO. 14,24091501410,SARASWATI PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,21,13,11,9,7,9,15,13,9,7,5,10,7,10,8,0,0,0,0,0,0,0,0,1,8,9,6,3,9,0,0,,,,,,,
511,C.R.C. NO. 14,24091501411,KARMAYOGI PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,12,16,18,25,21,31,26,32,17,34,13,46,20,40,30,0,0,0,0,0,0,0,0,3,9,12,5,7,12,0,0,,,,,,,
512,C.R.C. NO. 14,24091501412,GITA VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,3,7,5,11,7,10,12,13,9,9,9,19,16,22,16,0,0,0,0,0,0,0,0,1,7,8,4,4,8,0,0,,,,,,,
513,C.R.C. NO. 14,24091501413,SWAMI VIVEKANAND VIDYALAY,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,87,25,0,0,0,0,4,1,5,0,0,5,0,0,,,,,,,
514,C.R.C. NO. 14,24091501415,THE ROYAL SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,17,9,12,3,12,8,12,5,11,10,11,4,11,8,22,7,7,33,16,30,8,2,10,0,3,10,13,3,3,13,0,0,,,,,,,
515,C.R.C. NO. 14,24091501417,ULTRA SECONDARY & HIGHER SEC SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,42,109,29,11,0,11,0,0,11,0,0,,,,,,,
516,C.R.C. NO. 14,24091501418,SHRI BAHUCHAR VIDHYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,42,0,0,0,0,0,3,1,4,0,0,4,0,0,,,,,,,
517,C.R.C. NO. 14,24091501419,SHRI MA ANANDMAYI KANYA VIDYALAYA,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,40,52,50,0,47,4,42,2,9,11,0,0,11,0,0,,,,,,,
518,C.R.C. NO. 14,24091501420,SHRI UNIVERSAL HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,78,106,79,0,43,0,40,7,8,15,0,0,0,15,0,,,,,,,
519,C.R.C. NO. 14,24091501421,SHRI LITTLE STAR PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,49,29,38,35,38,39,41,38,48,30,46,33,39,38,11,63,0,0,0,0,0,0,0,0,0,16,16,10,6,0,16,0,,,,,,,
520,C.R.C. NO. 14,24091501422,SHRI UNIVERSAL PRATHMIK SHALA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,24,15,21,15,15,23,24,16,17,22,24,16,16,25,38,0,0,0,0,0,0,0,0,0,2,6,8,5,3,0,8,0,,,,,,,
521,C.R.C. NO. 14,24091501423,VANDE MATARAM SEC AND HIGH. SEC. SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,47,16,36,20,40,14,5,4,9,0,0,0,9,0,,,,,,,
522,C.R.C. NO. 14,24091501424,VANDEMATARAM VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,22,5,11,9,12,13,15,13,19,13,25,10,20,14,20,17,0,0,0,0,0,0,0,0,4,5,9,5,4,9,0,0,,,,,,,
523,C.R.C. NO. 14,24091501425,KARMAYOGI ENGLISH PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,12,8,10,10,8,16,14,23,10,22,12,17,18,19,14,0,0,0,0,0,0,0,0,4,4,8,4,4,4,4,0,,,,,,,
524,C.R.C. NO. 14,24091501426,CREATIVE SCIENCE SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,83,174,82,10,0,10,0,0,10,0,0,,,,,,,
525,C.R.C. NO. 14,24091501427,BAHUCHAR VIDHYALAY,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,3,0,0,3,0,0,,,,,,,
526,C.R.C. NO. 14,24091501428,SANSKAR LAXMI GHYAN VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,11,15,11,13,15,12,17,20,11,12,16,9,14,8,10,0,0,0,0,0,0,0,0,0,8,8,4,4,0,8,0,,,,,,,
527,C.R.C. NO. 14,24091501429,MATUSHRI RADHABAI BECHARBHAI AKABARI PRI.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,13,13,14,5,9,14,14,9,16,17,14,13,24,14,28,0,0,0,0,0,0,0,0,0,8,8,4,4,8,0,0,,,,,,,
528,C.R.C. NO. 4,24091501501,SCHOOL NO.10,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,16,6,14,7,10,15,12,14,15,15,7,7,11,8,0,0,0,0,0,0,0,0,0,0,1,6,7,5,2,7,0,0,,,,,,,
529,C.R.C. NO. 10,24091501502,SCHOOL NO.4,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,13,12,8,4,9,11,6,10,12,19,14,15,13,19,22,13,0,0,0,0,0,0,0,0,3,5,8,5,3,7,1,0,,,,,,,
530,C.R.C. NO. 10,24091501503,SCHOOL NO.5,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,4,6,1,2,3,6,5,9,2,12,5,10,5,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,4,0,0,,,,,,,
531,C.R.C. NO. 4,24091501504,SCHOOL NO.26,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,20,23,13,13,15,17,22,19,36,28,26,23,16,25,33,15,0,0,0,0,0,0,0,0,4,6,10,6,4,10,0,0,,,,,,,
532,C.R.C. NO. 15,24091501507,GAUTAM VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,13,6,7,13,5,12,4,17,6,19,7,15,10,13,14,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,,,,,,,
533,C.R.C. NO. 15,24091501509,BAJRANG VIDHIYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,6,12,3,8,5,10,4,12,10,10,6,15,6,6,3,0,0,0,0,0,0,0,0,3,5,8,4,4,0,8,0,,,,,,,
534,C.R.C. NO. 15,24091501510,SHREE VIKASH VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,1,3,2,8,4,5,5,2,3,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,4,0,0,,,,,,,
535,C.R.C. NO. 1,24091501511,ADARSH PR.SCHOOL GRANTED,Pvt. Aided                                                                 ,Primary with Upper Primary                                                 ,14,12,18,18,22,14,13,14,14,16,11,23,28,27,26,23,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
536,C.R.C. NO. 15,24091501512,NAVYUG PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,80,69,55,39,53,40,68,40,95,42,91,52,91,61,100,56,0,0,0,0,0,0,0,0,3,15,18,10,8,18,0,0,,,,,,,
537,C.R.C. NO. 15,24091501514,ACHAUHAM VIDHYALAY PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,2,5,0,0,,,,,,,
538,C.R.C. NO. 15,24091501515,SHRI H K SHETH PRI SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,14,35,10,32,14,24,12,22,6,22,13,23,23,21,40,0,0,0,0,0,0,0,0,0,7,7,4,3,0,7,0,,,,,,,
539,C.R.C. NO. 15,24091501516,SHRI HIRALAXMI K SHETH PRI SCHOOL (ENG MED),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,12,15,11,15,11,12,13,7,2,15,5,16,4,0,0,0,0,0,0,0,0,0,0,0,7,7,5,2,0,7,0,,,,,,,
540,C.R.C. NO. 15,24091501517,SHREE AMBICA PRIMARY VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,12,16,10,21,10,21,5,22,8,22,10,21,9,30,11,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,,,,,,,
541,C.R.C. NO. 15,24091501518,BAL KISHOR VIDHYALAYA (PRI.),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,3,1,6,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,,,,,
542,C.R.C. NO. 15,24091501519,SHRI ARUNODAYA SECONDARY SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,37,0,41,6,17,8,1,7,8,0,0,8,0,0,,,,,,,
543,C.R.C. NO. 15,24091501520,SHRI AMBICA HIGH.SEC.SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,60,20,4,1,5,0,0,5,0,0,,,,,,,
544,C.R.C. NO. 15,24091501521,SHRI BAL KISHOR VIDHYALAYA  RAJKOT,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,23,24,0,0,0,0,3,1,4,0,0,4,0,0,,,,,,,
545,C.R.C. NO. 15,24091501522,SHREE P. & T. V. SHETH HIGH SCHOOL,Local body                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,45,0,152,0,156,0,15,2,17,0,0,17,0,0,,,,,,,
546,C.R.C. NO. 15,24091501523,GAUTAM MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,38,17,20,13,10,9,4,2,6,0,0,3,3,0,,,,,,,
547,C.R.C. NO. 1,24091501524,SHRI RAMNATHPARA HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,13,7,0,0,0,0,4,0,4,0,0,4,0,0,,,,,,,
548,C.R.C. NO. 15,24091501525,GAUTAM VIDYA VIHAR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,22,2,6,7,10,5,11,5,17,5,11,7,20,6,28,0,0,0,0,0,0,0,0,0,0,5,5,2,3,5,0,0,,,,,,,
549,C.R.C. NO. 15,24091501526,SHREE AVANI VIDYAMANDIR,Pvt. Unaided                                                               ,Primary                                                                    ,12,5,20,11,24,11,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,4,0,0,,,,,,,
550,C.R.C. NO. 15,24091501527,SHREE NAVYUG HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,53,93,39,60,41,47,21,9,4,13,0,0,13,0,0,,,,,,,
551,C.R.C. NO. 15,24091501528,SHRI AMBIKA SECONDARY SCHOOL(ENG. MED.),Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,2,0,0,0,0,0,4,4,0,0,4,0,0,,,,,,,
552,C.R.C. NO. 15,24091501529,DEEP VIDHYALAY,Pvt. Unaided                                                               ,Primary                                                                    ,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,,,,,
553,C.R.C. NO. 4,24091501601,SCHOOL NO.33,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,24,40,31,34,33,48,43,57,52,54,37,44,35,39,43,34,0,0,0,0,0,0,0,0,6,12,18,11,7,18,0,0,,,,,,,
554,C.R.C. NO. 4,24091501602,SCHOOL NO.17,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,31,27,16,19,15,23,16,28,11,20,21,13,27,14,22,12,0,0,0,0,0,0,0,0,1,9,10,6,4,10,0,0,,,,,,,
555,C.R.C. NO. 4,24091501603,SCHOOL NO.68,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,25,21,20,12,12,13,12,14,18,20,12,14,11,6,8,10,0,0,0,0,0,0,0,0,3,6,9,5,4,9,0,0,,,,,,,
556,C.R.C. NO. 3,24091501604,SCHOOL NO.98,Municipal School Board(MSB)                                                ,Primary                                                                    ,11,13,12,30,8,16,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,0,5,0,0,,,,,,,
557,C.R.C. NO. 16,24091501608,SCHOOL NO.76,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,46,46,45,39,52,53,46,46,54,49,48,43,46,48,46,44,0,0,0,0,0,0,0,0,7,13,20,14,6,20,0,0,,,,,,,
558,C.R.C. NO. 16,24091501609,SHEFARD VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,19,16,8,19,14,13,13,7,18,16,8,10,6,6,6,0,0,0,0,0,0,0,0,0,8,8,4,4,8,0,0,,,,,,,
559,C.R.C. NO. 16,24091501610,SWAMI VIVEKANAND VIDHYAMANDIR,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,67,104,59,0,0,0,0,6,1,7,0,0,7,0,0,,,,,,,
560,C.R.C. NO. 16,24091501611,SWAMINARAYAN VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,72,49,63,41,58,38,40,48,44,37,41,30,37,24,22,24,0,0,0,0,0,0,0,0,1,16,17,11,6,2,15,0,,,,,,,
561,C.R.C. NO. 16,24091501612,GULAB PRATHAMIK SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,4,1,2,2,1,4,3,3,1,6,3,1,1,6,5,0,0,0,0,0,0,0,0,4,4,8,4,4,8,0,0,,,,,,,
562,C.R.C. NO. 16,24091501613,SHREE AMARNATH VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,57,53,69,43,77,38,68,49,60,47,65,53,58,37,60,38,0,0,0,0,0,0,0,0,1,11,12,6,6,0,12,0,,,,,,,
563,C.R.C. NO. 16,24091501614,SHREE KRISHNA VIDHYALAY ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,21,23,23,15,13,11,13,10,17,15,12,5,13,3,4,0,0,0,0,0,0,0,0,3,5,8,4,4,8,0,0,,,,,,,
564,C.R.C. NO. 16,24091501615,MADHAVRAY VIDHYAMANDIR,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,17,10,4,12,15,11,7,8,12,10,11,10,15,13,22,12,15,9,8,13,0,0,0,0,3,6,9,2,7,3,6,0,,,,,,,
565,C.R.C. NO. 16,24091501616,DR. D N M VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,6,5,4,3,1,6,3,15,11,17,9,12,7,7,8,0,0,0,0,0,0,0,0,4,2,6,3,3,6,0,0,,,,,,,
566,C.R.C. NO. 16,24091501618,"SWAMI VIVEKANAND VIDHYAMANDIR
SWAMI VIVEKANAND VIDHYAMANDIR
SWAMI VIVEKANAND VIDHYAMANDIR",,,20,6,16,9,17,17,15,15,24,12,23,9,15,19,28,12,0,0,0,0,0,0,0,0,1,6,7,4,3,,,,,,,,,,
567,C.R.C. NO. 16,24091501619,JAY YOGESHVAR MADHYAMIK SHALA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,25,15,7,5,1,5,3,1,4,0,0,,,,,,,,,,
568,C.R.C. NO. 16,24091501620,SHREE KHODIYAR HIGHER SEC SCHOOL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,2,0,0,,,,,,,,,,
569,C.R.C. NO. 16,24091501621,SHREE KHODIYAR VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,28,41,22,24,21,14,19,2,2,4,0,0,1,3,0,,,,,,,
570,C.R.C. NO. 6,24091501701,SCHOOL NO.15,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,21,16,15,23,13,15,19,35,31,15,30,40,43,36,24,38,0,0,0,0,0,0,0,0,8,7,15,8,7,0,2,0,,,,,,,
571,C.R.C. NO. 6,24091501702,SCHOOL NO.32,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,11,19,9,16,6,16,14,13,13,21,21,20,27,20,18,16,0,0,0,0,0,0,0,0,5,4,9,5,4,0,4,0,,,,,,,
572,C.R.C. NO. 7,24091501703,SCHOOL NO.43,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,49,66,63,64,54,64,56,61,90,85,79,98,84,84,86,88,0,0,0,0,0,0,0,0,9,24,33,22,11,15,0,0,,,,,,,
573,C.R.C. NO. 5,24091501704,SCHOOL NO.46,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,17,16,10,10,4,13,7,20,16,15,15,20,18,19,15,16,0,0,0,0,0,0,0,0,1,7,8,5,3,8,1,0,,,,,,,
574,C.R.C. NO. 5,24091501706,SCHOOL NO.77,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,29,25,4,6,10,8,11,15,7,10,10,15,14,19,14,18,0,0,0,0,0,0,0,0,1,9,10,5,5,33,0,0,,,,,,,
575,C.R.C. NO. 5,24091501707,SCHOOL NO.89 B,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,41,58,43,56,39,45,40,33,37,44,40,47,31,34,41,40,0,0,0,0,0,0,0,0,10,7,17,12,5,8,0,0,,,,,,,
576,C.R.C. NO. 16,24091501709,SARASVATI VIDHYAMANDIR,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,28,23,27,16,22,23,32,16,34,13,27,17,23,19,17,12,16,9,13,7,0,0,0,0,8,7,15,6,5,10,0,0,,,,,,,
577,C.R.C. NO. 17,24091501712,SANDIPANI PR.SCHOOL,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,27,18,38,24,27,27,30,37,33,24,25,22,20,19,21,19,0,0,0,0,0,0,0,0,2,7,9,7,2,17,0,0,,,,,,,
578,C.R.C. NO. 17,24091501713,SARDA PR.SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,9,12,6,12,9,11,14,13,18,10,13,12,19,8,21,8,0,0,0,0,0,0,0,0,3,5,8,4,4,15,0,0,,,,,,,
579,C.R.C. NO. 17,24091501714,BUNYAD PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,10,20,13,18,14,13,19,14,9,17,9,12,11,16,9,0,0,0,0,0,0,0,0,4,2,6,3,3,5,4,0,,,,,,,
580,C.R.C. NO. 17,24091501715,SARVODAY PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,12,15,19,21,18,21,11,11,25,23,17,17,16,19,18,0,0,0,0,0,0,0,0,0,8,8,4,4,1,7,0,,,,,,,
581,C.R.C. NO. 17,24091501717,SHREE GOKUL VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,20,23,16,19,12,23,12,17,15,18,6,16,11,16,8,0,0,0,0,0,0,0,0,2,7,9,6,3,0,6,0,,,,,,,
582,C.R.C. NO. 17,24091501719,SANSAKAR PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,36,39,39,31,34,32,40,18,25,22,32,19,24,23,12,28,0,0,0,0,0,0,0,0,6,6,12,6,6,0,8,0,,,,,,,
583,C.R.C. NO. 17,24091501720,TAXSHEELA VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,15,16,13,15,15,23,19,16,20,25,16,32,17,28,19,0,0,0,0,0,0,0,0,1,7,8,5,3,0,9,0,,,,,,,
584,C.R.C. NO. 17,24091501721,JAY SOMNATH VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,60,127,42,26,23,50,15,9,0,9,0,0,0,12,0,,,,,,,
585,C.R.C. NO. 17,24091501722,VIDHYANJALI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,17,19,17,12,16,14,18,10,13,15,13,9,17,7,19,7,19,9,17,13,0,0,0,0,3,5,8,3,3,8,0,0,,,,,,,
586,C.R.C. NO. 17,24091501723,ALLMIGHTY SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,16,6,10,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,9,0,0,,,,,,,
587,C.R.C. NO. 17,24091501724,NOOTAN GIRLS HIGH SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,52,0,41,0,37,6,0,6,0,0,0,8,0,,,,,,,
588,C.R.C. NO. 17,24091501725,BUNIYAD HIGHER SECONDARY SCHOOL,Pvt. Unaided                                                               ,Primary                                                                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,46,13,12,6,11,0,2,4,6,0,0,4,0,0,,,,,,,
589,C.R.C. NO. 17,24091501726,NUTAN KANYA PRIMARY SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,4,5,7,4,2,7,7,4,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,3,3,6,0,0,,,,,,,
590,C.R.C. NO. 17,24091501727,SHREE SANSKRUTI VIDHYALAY,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,1,1,0,1,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,6,0,,,,,,,
591,C.R.C. NO. 7,24091501728,SHREE SANDIPANI VIDHYALAY (HIGH SCHOOL),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,27,21,0,9,0,15,0,5,5,0,0,0,6,0,,,,,,,
592,C.R.C. NO. 17,24091501729,VANI NIKETA VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,9,5,3,8,9,10,5,10,4,10,6,4,3,0,0,0,0,0,0,0,0,0,0,2,5,7,5,2,2,0,0,,,,,,,
593,C.R.C. NO. 7,24091501730,SHREE GAYATRI HIGHSCHOOL ,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,13,13,0,0,0,0,4,4,8,0,0,5,0,0,,,,,,,
594,,24091501731,RAGHUVIR PRATHMIK SHALA ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,26,35,16,20,18,32,26,35,24,29,24,25,9,29,12,0,0,0,0,0,0,0,0,2,5,7,3,4,2,5,0,,,,,,,
595,C.R.C. NO. 17,24091501732,TRIMURTI VIDHYALAY,Pvt. Unaided                                                               ,Secondary Only                                                             ,7,1,8,10,13,16,14,13,15,2,15,3,9,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,7,1,0,,,,,,,
596,C.R.C. NO. 17,24091501733,GRACE PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,22,19,12,16,13,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,3,4,0,,,,,,,
597,C.R.C. NO. 7,24091501734,SANDIPANI ENGLISH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,9,10,9,6,5,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,1,4,0,0,,,,,,,
598,C.R.C. NO. 17,24091501735,NOBAL  VIDHYALAY ,Pvt. Unaided                                                               ,Primary                                                                    ,24,23,15,18,17,23,15,14,17,11,16,16,25,15,21,16,34,27,21,12,15,12,0,0,6,8,14,7,4,4,0,0,,,,,,,
